,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean,metro,metro_dist,price
179,"(55.666, 55.669]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Люблино,0.009441355834841332,10000000.0
180,"(55.669, 55.672]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.007870635298384412,10000000.0
181,"(55.669, 55.672]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.0059746882763981966,10000000.0
182,"(55.669, 55.672]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.011042957031521815,10000000.0
183,"(55.669, 55.672]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.018383332124517288,10000000.0
184,"(55.669, 55.672]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.017745379680354504,10000000.0
185,"(55.669, 55.672]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.015006615207966575,10000000.0
186,"(55.669, 55.672]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.009798229431892793,10000000.0
187,"(55.669, 55.672]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.002684268988013525,50827.5
188,"(55.669, 55.672]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.00555925354701697,10000000.0
189,"(55.669, 55.672]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.0083531131920984,10000000.0
190,"(55.669, 55.672]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.013186148034967152,10000000.0
191,"(55.669, 55.672]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Академическая,0.01891868124369029,10000000.0
192,"(55.669, 55.672]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.018834829439102942,10000000.0
193,"(55.669, 55.672]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.012620479388674407,10000000.0
194,"(55.669, 55.672]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.00614857707116458,10000000.0
195,"(55.669, 55.672]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.002950423698387493,10000000.0
196,"(55.669, 55.672]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.010082906327050169,10000000.0
197,"(55.669, 55.672]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Нагатинская,0.014146098402031113,19622.5
198,"(55.669, 55.672]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Нагатинская,0.018058574140836742,10000000.0
199,"(55.669, 55.672]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.017091483259219175,10000000.0
200,"(55.669, 55.672]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.014723549164513053,10000000.0
201,"(55.669, 55.672]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.008850587551119478,18008.0
202,"(55.669, 55.672]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.007237603194432069,10000000.0
203,"(55.669, 55.672]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.011786980105187415,10000000.0
