,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean,metro,metro_dist
144,"(55.666, 55.669]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.010233616174170337
145,"(55.666, 55.669]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.008858718869012388
146,"(55.666, 55.669]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.012834597773210625
147,"(55.666, 55.669]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.019512224373463304
148,"(55.666, 55.669]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.015325093800689728
149,"(55.666, 55.669]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.012048174135526672
150,"(55.666, 55.669]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.009773704517734592
151,"(55.666, 55.669]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.002593318337571899
152,"(55.666, 55.669]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.005515913342321132
153,"(55.666, 55.669]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.011184565257532593
154,"(55.666, 55.669]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.015139171047321742
155,"(55.666, 55.669]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.020801942217015954
156,"(55.666, 55.669]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.016145302722466247
157,"(55.666, 55.669]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.011306480442646635
158,"(55.666, 55.669]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.004902703335914416
159,"(55.666, 55.669]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.005628943062427797
160,"(55.666, 55.669]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.01116445251681048
161,"(55.666, 55.669]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.015224050052462008
162,"(55.666, 55.669]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.018228790415163763
163,"(55.666, 55.669]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.014242148714296422
164,"(55.666, 55.669]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.013634104297685785
165,"(55.666, 55.669]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.011359264941009757
166,"(55.666, 55.669]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.010152974933489966
167,"(55.666, 55.669]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.013770726197267387
168,"(55.666, 55.669]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.01971504248030284
169,"(55.666, 55.669]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.026461914140896787
170,"(55.666, 55.669]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.033530328062818734
171,"(55.666, 55.669]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03681033007186904
172,"(55.666, 55.669]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03172145015600516
173,"(55.666, 55.669]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Печатники,0.02753634688915446
174,"(55.666, 55.669]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Печатники,0.025337726812007626
175,"(55.666, 55.669]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.018956465915351516
176,"(55.666, 55.669]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.01212837994128091
177,"(55.666, 55.669]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.006880959235452534
178,"(55.666, 55.669]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.007752264185381253
179,"(55.666, 55.669]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Люблино,0.009441355834841332
180,"(55.669, 55.672]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.007870635298384412
